unit_id,city_group,dominant_emotion,keywords,matched_city_type,image_rank,title,image_url,local_path,score
1,Cities & Memory 1,joy,"['evening', 'leaving', 'proceeding', 'east', 'reach', 'diomira', 'sixty', 'silver', 'domes', 'bronze', 'statues', 'gods']",vertical_city,1,Lights of Awareness,https://live.staticflickr.com/3950/14914314754_c51ba61490_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\vertical_city\vertical_city_0.jpg,8
1,Cities & Memory 1,joy,"['evening', 'leaving', 'proceeding', 'east', 'reach', 'diomira', 'sixty', 'silver', 'domes', 'bronze', 'statues', 'gods']",circular_city,2,"Golden Statues & Eiffel Tower Viewed From The Palais De Chaillot, Paris, France.",https://live.staticflickr.com/65535/52237009217_c3a123152d_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\circular_city\circular_city_6.jpg,7
1,Cities & Memory 1,joy,"['evening', 'leaving', 'proceeding', 'east', 'reach', 'diomira', 'sixty', 'silver', 'domes', 'bronze', 'statues', 'gods']",ruin_city,3,Dystopian,https://live.staticflickr.com/3953/15477020460_631cd4e82a_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\ruin_city\ruin_city_52.jpg,5
2,Cities & Memory 2,desire,"['isidora', 'spiral', 'young', 'rides', 'wild', 'regions', 'feels', 'desire', 'finally', 'buildings', 'staircases', 'encrusted']",surreal_city,1,The Stars Are Out Tonight,https://live.staticflickr.com/65535/54577326738_95456d2cf2_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\surreal_city\surreal_city_4.jpg,7
2,Cities & Memory 2,desire,"['isidora', 'spiral', 'young', 'rides', 'wild', 'regions', 'feels', 'desire', 'finally', 'buildings', 'staircases', 'encrusted']",floating_city,2,Fantasy in Dream 2011,https://live.staticflickr.com/8845/18449968065_c8ae5d180c_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\floating_city\floating_city_3.jpg,4
2,Cities & Memory 2,desire,"['isidora', 'spiral', 'young', 'rides', 'wild', 'regions', 'feels', 'desire', 'finally', 'buildings', 'staircases', 'encrusted']",desert_city,3,A City By Day Just Isn’t the Same,https://live.staticflickr.com/5146/5691799788_1894ce149b_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_4.jpg,3
3,Cities & Desire 1,desire,"['dorothea', 'quarters', 'morning', 'desert', 'caravan', 'routes', 'ways', 'describing', 'aluminium', 'towers', 'rise', 'walls']",desert_city,1,Coastal Dubai,https://live.staticflickr.com/4051/4708242980_34e36fa6c2_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\desert_city\desert_city_39.jpg,15
3,Cities & Desire 1,desire,"['dorothea', 'quarters', 'morning', 'desert', 'caravan', 'routes', 'ways', 'describing', 'aluminium', 'towers', 'rise', 'walls']",vertical_city,2,Dystopian Shard,https://live.staticflickr.com/705/31620092615_a8364a0673_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\vertical_city\vertical_city_31.jpg,12
3,Cities & Desire 1,desire,"['dorothea', 'quarters', 'morning', 'desert', 'caravan', 'routes', 'ways', 'describing', 'aluminium', 'towers', 'rise', 'walls']",surreal_city,3,The dreamlike place,https://live.staticflickr.com/65535/54132113904_bb5bfb2ce5_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\surreal_city\surreal_city_8.jpg,8
4,Cities & Memory 3,neutral,"['past', 'zaira', 'tell', 'steps', 'streets', 'telling', 'height', 'lamppost', 'railing', 'guttering', 'gunboat', 'dock']",layered_city,1,2017 - Montreal - Row Housing Stairs,https://live.staticflickr.com/4359/37351165081_f574fd82af_c.jpg,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\flickr_images\layered_city\layered_city_39.jpg,9
