unit_id,city_group,search_query,image_rank,image_url,source_url,title,local_path,download_success,error_x,file_exists,width,height,valid_image,error_y,caption,caption_dominant_emotion,awe,joy,sadness,fear,desire
1,Cities & Memory 1,"surreal city architecture, silver, domes, bronze, statues, joy atmosphere",1,https://pics.craiyon.com/2023-10-24/332aa5adef9e4abfb9c2716f9c607973.webp,https://www.craiyon.com/image/BtAnG3xCRzWOAD7qYbQmUQ,Cityscape with silver domes and bronze statues on Craiyon,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\01_Cities_&_Memory_1\img_01.jpg,True,,True,1024.0,1024.0,True,,a castle with a clock in the middle,awe,2.0,,,,
1,Cities & Memory 1,"surreal city architecture, silver, domes, bronze, statues, joy atmosphere",2,https://pics.craiyon.com/2024-04-28/oTRPsNoNT5uMSfl2fUjPsA.webp,https://www.craiyon.com/image/Vmzk7YtkTdWm6uDuqyGgNQ,"City with silver domes, bronze statues, paved streets, glass theater ...",D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\01_Cities_&_Memory_1\img_02.jpg,True,,True,1024.0,1024.0,True,,a large fountain with statues on it,neutral,0.0,0.0,0.0,0.0,0.0
1,Cities & Memory 1,"surreal city architecture, silver, domes, bronze, statues, joy atmosphere",3,https://pics.craiyon.com/2023-10-07/d79e0b758b134447af5462c7192fb137.webp,https://www.craiyon.com/search/aerial+view+of+a+city+with+silver+domes+and+bronze+statues,aerial view of a city with silver domes and bronze statues on Craiyon,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\01_Cities_&_Memory_1\img_03.jpg,True,,True,1024.0,1024.0,True,,a circular view of a city with buildings,neutral,0.0,0.0,0.0,0.0,0.0
2,Cities & Memory 2,"surreal city architecture, spiral, buildings, staircases, isidora, desire atmosphere",1,https://images.stockcake.com/public/8/e/d/8ed08164-9515-488c-bbda-fd9eeecefa85_large/spiral-urban-dreamscape-stockcake.jpg,https://stockcake.com/i/spiral-urban-dreamscape_2381769_1437538,"Free Spiral Urban Dreamscape Image - Spiral, Staircase, Cyberpunk ...",D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\02_Cities_&_Memory_2\img_01.jpg,True,,True,384.0,672.0,True,,a spiral staircase in a city with a pink light,desire,,,,,2.0
2,Cities & Memory 2,"surreal city architecture, spiral, buildings, staircases, isidora, desire atmosphere",2,https://cdn.openart.ai/published/uNXcBp8dNKILas8dzwa9/Lpt8wwfQ_sumy_512.webp,https://openart.ai/search/architecture,OpenArt - Find and Easily Create Customized architecture Images,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\02_Cities_&_Memory_2\img_02.jpg,True,,True,512.0,819.0,True,,a city with a staircase leading to a building,desire,,,,,2.0
2,Cities & Memory 2,"surreal city architecture, spiral, buildings, staircases, isidora, desire atmosphere",3,https://i.pinimg.com/originals/9b/28/18/9b2818ef1d5623339b3d84636926c182.jpg,https://www.pinterest.com/pin/isidora-nine-invisible-cities-chapter-1-cities-and-memory-2-in-2024--716072409533667238/,Isidora Nine Invisible cities. Chapter 1. Cities and Memory 2 in 2024 ...,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\02_Cities_&_Memory_2\img_03.jpg,True,,True,1000.0,1333.0,True,,a painting of a city with a red roof,neutral,0.0,0.0,0.0,0.0,0.0
3,Cities & Desire 1,"surreal city architecture, quarters, desert, caravan, routes, desire atmosphere",1,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/898dbf49-8f22-4013-b3a1-1801f4e0fbc1/dfmhbtd-19132e8a-e6ff-464f-af8a-80eb9a0de3c1.png/v1/fill/w_894,h_894,q_70,strp/surrealism_desert_city_by_brainfogg_dfmhbtd-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTI4MCIsInBhdGgiOiJcL2ZcLzg5OGRiZjQ5LThmMjItNDAxMy1iM2ExLTE4MDFmNGUwZmJjMVwvZGZtaGJ0ZC0xOTEzMmU4YS1lNmZmLTQ2NGYtYWY4YS04MGViOWEwZGUzYzEucG5nIiwid2lkdGgiOiI8PTEyODAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.M-vgLLIg2AmK0NFMVj-CqzbeZ29lVcmICQtp8oWcNs0",https://www.deviantart.com/brainfogg/art/Surrealism-desert-city-944752657,Surrealism desert city by BrainFogg on DeviantArt,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\03_Cities_&_Desire_1\img_01.jpg,True,,True,894.0,894.0,True,,a desert scene with a desert city in the background,neutral,0.0,0.0,0.0,0.0,0.0
3,Cities & Desire 1,"surreal city architecture, quarters, desert, caravan, routes, desire atmosphere",2,https://img.freepik.com/free-photo/surreal-geometric-shapes-barren-desert_23-2151296356.jpg,https://www.freepik.com/free-ai-image/surreal-geometric-shapes-barren-desert_152377765.htm,Free Photo | Surreal geometric shapes in the barren desert,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\03_Cities_&_Desire_1\img_02.jpg,True,,True,626.0,626.0,True,,a desert with a path leading to a pyramid,desire,,,,,2.0
3,Cities & Desire 1,"surreal city architecture, quarters, desert, caravan, routes, desire atmosphere",3,https://blog.architizer.com/wp-content/uploads/1596643511422AIDIASTUDIO_The_Rub_al_Khali_OCULUS04-768x543.jpeg,https://architizer.com/blog/inspiration/collections/designing-desert-architecture/,Weathering Winds: 7 Ways Architects are Designing for Desert Conditions,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\03_Cities_&_Desire_1\img_03.jpg,True,,True,768.0,543.0,True,,a desert with a large dome and several people walking around it,neutral,0.0,0.0,0.0,0.0,0.0
4,Cities & Memory 3,"surreal city architecture, streets, lamppost, railing, dock, neutral atmosphere",1,https://img.freepik.com/premium-photo/painting-surreal-city-with-staircase-leading-bridge-generative-ai_958098-20282.jpg?w=2000,https://www.freepik.com/premium-ai-image/painting-surreal-city-with-staircase-leading-bridge-generative-ai_58486774.htm,Premium AI Image | Painting of a surreal city with a staircase leading ...,D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\04_Cities_&_Memory_3\img_01.jpg,True,,True,2000.0,2000.0,True,,a surreal city with stairs leading to the sky,desire,,,,,2.0
4,Cities & Memory 3,"surreal city architecture, streets, lamppost, railing, dock, neutral atmosphere",2,https://thumbs.dreamstime.com/z/ai-generated-image-old-evening-house-street-lamp-surreal-magritte-inspired-fantasy-photo-enchanting-evoking-304295671.jpg,https://cartoondealer.com/image/304295671/ai-generated-image-old-evening-house-street-lamp-surreal-magritte-inspired-fantasy-photo.html,"AI-Generated Image Of Old Evening House With Street Lamp, Surreal ...",D:\Work\Workspace\Projects\Python\data-driven-surface\data\raw\scraped_images\04_Cities_&_Memory_3\img_02.jpg,True,,True,1600.0,1295.0,True,,a house on the beach at night with a cloudy sky,neutral,0.0,0.0,0.0,0.0,0.0
